url,company,location,price,make,model,year,running hours,type,engine_type,capacity,mast type,lift height,closed height,free lift,fork carriage,fork length,forks,engine charger,transmission,battery size age,tyres,front tyres,rear tyres,length,width,weight,images
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Linde-H18T-3394460s?b=1,ALWARK Co. Ltd (Alwark UAB),Litauen,9.500 EUR,Linde,H18T,2012,11.683,Treibgasstapler,Treibgas,1.800 kg,Triplex,4.625 mm,2.121 mm,1.500 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Linde-H25T-3396319s?b=1,ALWARK Co. Ltd (Alwark UAB),Litauen,11.000 EUR,Linde,H25T,2012,12.630,Treibgasstapler,Treibgas,2.500 kg,Triplex,4.715 mm,2.154 mm,1.624 mm,,1.200 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Hubwagen-gebraucht-Linde-T20AP-3396516s?b=1,ALWARK Co. Ltd (Alwark UAB),Litauen,1.500 EUR,Linde,T20AP,2009,5.200,Niederhubwagen,Elektro,2.000 kg,keiner,0 mm,0 mm,0 mm,,0 mm,,,,,Polyurethan/Polyurethan,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Jungheinrich-EFG213-3397361s?b=1,ALWARK Co. Ltd (Alwark UAB),Litauen,5.000 EUR,Jungheinrich,EFG213,2005,29.204,Elektro 3 Rad,Elektro,1.250 kg,Triplex,4.500 mm,2.200 mm,1.500 mm,,0 mm,,,,,Superelastik/Superelastik,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-7880-02-7FG35-3397459s?b=1,01103 Vilnius,Litauen,,Toyota,7880 - 02 7FG35,2001,6.237,Treibgasstapler,Treibgas,4.000 kg,Triplex,5.500 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-8595-02-8FG15-3397572s?b=1,01103 Vilnius,Litauen,8.250 EUR,Toyota,8595 - 02-8FG15,2012,4.773,Benzinstapler,Benzin,1.500 kg,Duplex,3.000 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Mitsubishi-8597-KFGE25T-3434193s?b=1,01103 Vilnius,Litauen,,Mitsubishi,8597 - KFGE25T,-,3.890,Benzinstapler,Benzin,2.500 kg,Duplex,3.000 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-8724-02-8FGF15-3434196s?b=1,01103 Vilnius,Litauen,,Toyota,8724 - 02-8FGF15,-,6.126,Treibgasstapler,Treibgas,1.500 kg,Duplex,3.000 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-8781-FBESF10-3434202s?b=1,01103 Vilnius,Litauen,,Toyota,8781 - FBESF10,-,6.675,Elektro 3 Rad,Elektro,1.000 kg,Duplex,4.000 mm,0 mm,0 mm,,0 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-8752-02-8FG25-3434203s?b=1,01103 Vilnius,Litauen,,Toyota,8752 - 02-8FG25,-,6.216,Benzinstapler,Benzin,2.500 kg,Duplex,3.000 mm,0 mm,0 mm,,0 mm,,Gasoline/LP fuel ,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-02-8FGL15-3450818s?b=1,Paradis,Litauen,6.300 EUR,Toyota,02-8FGL15,2012,1.986,Treibgasstapler,Benzin,1.500 kg,Duplex,3.000 mm,2.020 mm,0 mm,,920 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
https://www.forklift-international.com/de/e/Gabelstapler-gebraucht-Toyota-7FBE15-3450820s?b=1,Paradis,Litauen,6.000 EUR,Toyota,7FBE15,2013,2.563,Elektro 3 Rad,Elektro,1.500 kg,keiner,3.000 mm,2.020 mm,0 mm,,920 mm,,,,,unbekannt/unbekannt,,,0 mm,0 mm,0 kg,
